City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,haul
ADELAIDE,BRISBANE,0,0,0,1622,0,0,0,2020,April,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,0,0,0,1622,0,0,0,2020,May,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,0,0,0,1622,0,0,0,2020,June,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,18226,140,86.6,1622,29562572,34141478,21049,2020,July,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,27220,270,60.6,1622,44150840,72866728,44924,2020,August,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,29020,244,71.6,1622,47070440,65786698,40559,2020,September,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,44849,345,77,1622,72745078,94494476,58258,2020,October,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,27540,247,68.9,1622,44669880,64873512,39996,2020,November,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,32187,299,67.5,1622,52207314,77336960,47680,2020,December,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,CANBERRA,11865,122,58.6,972,11532780,19669392,20236,2019,January,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,14263,136,62.8,972,13863636,22060512,22696,2019,February,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,17846,150,72.1,972,17346312,24056028,24749,2019,March,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,16894,150,66.8,972,16420968,24600348,25309,2019,April,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,16512,162,60.8,972,16049664,26382024,27142,2019,May,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,14929,141,64.4,972,14510988,22546512,23196,2019,June,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,16083,154,62.4,972,15632676,25036776,25758,2019,July,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,16875,159,64,972,16402500,25635528,26374,2019,August,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,17117,153,66.9,972,16637724,24861816,25578,2019,September,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,18788,160,70.1,972,18261936,26043768,26794,2019,October,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,17851,143,75.5,972,17351172,22980024,23642,2019,November,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,16420,136,72.7,972,15960240,21939984,22572,2019,December,-34.928661,138.598633,-35.27603,149.13435,below 1k
