City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,Category 
ADELAIDE,GOLD COAST,0,0,0,1607,2020,April,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,0,0,0,1607,2020,May,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,0,0,0,1607,2020,June,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,0,0,0,1607,2020,July,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,0,0,0,1607,2020,August,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,0,0,0,1607,2020,September,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,9744,62,86.6,1607,2020,October,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,0,0,0,1607,2020,November,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,10434,92,63.1,1607,2020,December,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,PERTH,53071,453,79,2120,2019,January,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,47343,423,75.3,2120,2019,February,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,52995,486,72.6,2120,2019,March,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,55908,480,77.1,2120,2019,April,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,54413,492,73.1,2120,2019,May,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,48750,462,69.8,2120,2019,June,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,57437,505,74.5,2120,2019,July,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,55413,484,76,2120,2019,August,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,53322,455,77.8,2120,2019,September,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,62148,500,81.4,2120,2019,October,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,57780,455,81.6,2120,2019,November,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,58254,452,83.6,2120,2019,December,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,56502,434,84.7,2120,2020,January,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,48805,425,75.1,2120,2020,February,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,35323,380,62.1,2120,2020,March,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,653,50,20.8,2120,2020,April,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,May,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,June,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,July,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,August,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,September,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,October,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,0,0,0,2120,2020,November,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PERTH,8215,155,44.1,2120,2020,December,-34.928661,138.598633,-31.95224,115.861397,between_2k_3k
ADELAIDE,PORT LINCOLN,13702,585,59.7,246,2019,January,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,12827,588,56.4,246,2019,February,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,15462,656,61,246,2019,March,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,14525,605,62.2,246,2019,April,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,14032,640,57,246,2019,May,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,12923,602,55.9,246,2019,June,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,12969,639,53.1,246,2019,July,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,13768,642,55.8,246,2019,August,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,14475,620,60.9,246,2019,September,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,15944,635,65.3,246,2019,October,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,16088,616,68,246,2019,November,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,15554,593,67.6,246,2019,December,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,14893,559,67.8,246,2020,January,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,14698,555,68.5,246,2020,February,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,11183,500,58.2,246,2020,March,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,564,52,27.4,246,2020,April,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,920,38,59,246,2020,May,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,0,0,0,246,2020,June,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,0,0,0,246,2020,July,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,0,0,0,246,2020,August,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,0,0,0,246,2020,September,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,9137,293,83.1,246,2020,October,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,0,0,0,246,2020,November,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,PORT LINCOLN,9286,346,67.5,246,2020,December,-34.928661,138.598633,-34.72625,135.87442,less_than_1k
ADELAIDE,SYDNEY,158122,1162,80.9,1167,2019,January,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,142286,1057,81,1167,2019,February,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,166592,1192,84.7,1167,2019,March,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,163623,1119,84.8,1167,2019,April,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,146791,1078,80.4,1167,2019,May,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,137571,1027,78.5,1167,2019,June,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,158892,1123,82.8,1167,2019,July,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,149036,1020,86.1,1167,2019,August,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,152863,1063,84.5,1167,2019,September,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,176119,1156,89.4,1167,2019,October,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,165849,1105,87.7,1167,2019,November,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,160997,1114,84.6,1167,2019,December,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,151785,1096,81.4,1167,2020,January,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,138027,1022,79.5,1167,2020,February,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,99202,902,65.3,1167,2020,March,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,2687,116,20.8,1167,2020,April,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,0,0,0,1167,2020,May,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,0,0,0,1167,2020,June,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,9282,134,62.9,1167,2020,July,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,5082,130,37.8,1167,2020,August,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,10315,150,59.1,1167,2020,September,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,56685,414,83.9,1167,2020,October,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,54523,517,66.4,1167,2020,November,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ADELAIDE,SYDNEY,49294,538,59.9,1167,2020,December,-34.928661,138.598633,-33.861481,151.205475,between_1k_2k
ARMIDALE,SYDNEY,8330,295,64.7,382,2019,January,-30.50828,151.671234,-33.861481,151.205475,less_than_1k
ARMIDALE,SYDNEY,9318,340,65.4,382,2019,February,-30.50828,151.671234,-33.861481,151.205475,less_than_1k
